S04374500007|03/05/2012|4277|Cork It!|769 PROSPECT ST SW|LE MARS|51031|75|Plymouth|1032080|IMPORTED VODKA|370|Pernod Ricard USA/Austin Nichols|34007|12|1000|$14.89|$22.34|12|$268.08|12.00|3.17
S24673100035|03/24/2015|3626|Wal-Mart 2714 / Spencer|500  11TH ST|SPENCER|51301|21|Clay|1012100|CANADIAN WHISKIES|434|Luxco-St Louis|13038|6|1750|$9.00|$13.50|18|$243.00|31.50|8.32
S04650800118|03/20/2012|2619|Hy-Vee Wine and Spirits / WDM|1725  74TH ST|WEST DES MOINES|50266|77|Polk|1031200|VODKA FLAVORED|65|Jim Beam Brands|40841|12|750|$9.99|$14.99|3|$44.97|2.25|0.59
S07494200054|08/31/2012|2621|Hy-Vee Food Store #3 / Sioux City|3301 GORDON DR|SIOUX CITY|51105|97|Woodbury|1062200|PUERTO RICO & VIRGIN ISLANDS RUM|451|Serralles USA|43426|12|750|$6.50|$9.74|1|$9.74|0.75|0.20
S14633400014|09/18/2013|3841|Hartig Drug Company #2 / Locust|157 LOCUST ST|DUBUQUE|52001|31|Dubuque|1071100|AMERICAN COCKTAILS|55|Sazerac North America|57148|6|1750|$6.49|$9.74|2|$19.48|3.50|0.92
S03688600022|01/23/2012|3679|FRANKLIN STREET FLORAL & GIFT|103 FRANKLIN ST|MONONA|52159|22|Clayton|1012200|SCOTCH WHISKIES|260|Diageo Americas|5347|12|1000|$16.99|$25.49|1|$25.49|1.00|0.26
S14871800069|10/01/2013|2522|Hy-Vee Wine and Spirits / Spirit Lak|HWY 9 & 71|SPIRIT LAKE|51360|30|Dickinson|1042100|IMPORTED DRY GINS|35|Bacardi U.S.A., Inc.|28236|12|750|$13.63|$20.45|12|$245.40|9.00|2.38
S15334900137|10/24/2013|2633|Hy-Vee #3 / BDI / Des Moines|3221 SE 14TH ST|DES MOINES|50320|77|Polk|1022100|TEQUILA|395|Proximo|87510|12|750|$14.17|$21.41|12|$256.92|9.00|2.38
S25028600099|04/13/2015|2591|Hy-Vee Wine and Spirits / Atlantic|1602 E. 7TH ST.|ATLANTIC|50022|15|Cass|1081390|IMPORTED SCHNAPPS|421|Sazerac Co., Inc.|69636|12|750|$8.67|$13.01|12|$156.12|9.00|2.38
S07729600031|09/13/2012|2545|Hy-Vee Drugstore / Iowa City|310 N 1ST ST|IOWA CITY|52245|52|Johnson|1031080|VODKA 80 PROOF|260|Diageo Americas|37991|12|500|$7.47|$11.20|1|$11.20|0.50|0.13
S19385800095|06/05/2014|4829|Central City 2|1501 MICHIGAN AVE|DES MOINES|50314|77|Polk|1081305|APPLE SCHNAPPS|65|Jim Beam Brands|82607|12|1000|$7.62|$11.43|48|$548.64|48.00|12.68
S07153200063|08/16/2012|2508|Hy-Vee Food Store #1 / Cedar Rapids|1843 JOHNSON AVENUE, N.W.|CEDAR RAPIDS|52405|57|Linn|1081200|CREAM LIQUEURS|305|MHW Ltd|73050|6|750|$12.50|$18.75|12|$225.00|9.00|2.38
S11431800028|04/03/2013|3987|Wine and Spirits Shoppe Of|111 S PHILLIPS ST|ALGONA|50511|55|Kossuth|1031200|VODKA FLAVORED|260|Diageo Americas|77405|12|500|$5.72|$8.58|1|$8.58|0.50|0.13
S22434100001|11/18/2014|3830|Wal-Mart 1435 / Creston|806 LAUREL ST|CRESTON|50801|88|Union|1701100|DECANTERS & SPECIALTY PACKAGES|478|Trinchero Family Estates|552|6|750|$12.41|$18.62|12|$223.44|9.00|2.38
S04084600008|02/15/2012|4319|Fareway Stores #703 / Humbolt|710 FIRST AVE N|HUMBOLDT|50548|46|Humboldt|1051110|BLACKBERRY BRANDIES|434|Luxco-St Louis|55086|12|750|$0.00|$0.00|12|$0.00|9.00|2.38
S10647900049|02/18/2013|3456|Quick Shop / Clear Lake|904 N 8TH ST|CLEAR LAKE|50428|17|Cerro Gordo|1012100|CANADIAN WHISKIES|260|Diageo Americas|11294|24|375|$7.36|$11.04|3|$33.12|1.12|0.30
S17432400005|02/17/2014|2521|Hy-Vee Food and Drug / Grand / WDM|1990 GRAND AVENUE|WEST DES MOINES|50265|77|Polk|1071100|AMERICAN COCKTAILS|55|Sazerac North America|57125|6|1750|$6.50|$9.75|6|$58.50|10.50|2.77
S04855600008|04/04/2012|4369|Kum & Go #28 / Norwalk|2992 SUNSET DR|NORWALK|50211|91|Warren|1012100|CANADIAN WHISKIES|260|Diageo Americas|11296|12|750|$14.25|$21.37|6|$128.22|4.50|1.19
S16274500009|12/19/2013|4798|Walgreens #05721 / Des Moines|3140 SE 14TH ST|DES MOINES|50320|77|Polk|1062200|PUERTO RICO & VIRGIN ISLANDS RUM|35|Bacardi U.S.A., Inc.|43126|12|750|$7.54|$11.31|12|$135.72|9.00|2.38
S15680400008|11/12/2013|4102|Fareway Stores #386 / Ames|619 BURNETT AVE|AMES|50010|85|Story|1011100|BLENDED WHISKIES|260|Diageo Americas|25608|6|1750|$11.96|$17.93|6|$107.58|10.50|2.77
S11491100014|04/09/2013|4647|B and B EAST / Waterloo|1615 BISHOP AVE|WATERLOO|50707|07|Black Hawk|1032080|IMPORTED VODKA|260|Diageo Americas|36871|12|750|$18.50|$27.75|4|$111.00|3.00|0.79
S11435500030|04/03/2013|3735|C B Liquor|1202 A AVE EAST|OSKALOOSA|52577|10|Buchanan|1031080|VODKA 80 PROOF|297|Laird And Company|35918|6|1750|$7.20|$10.79|6|$64.74|10.50|2.77
